model,precision,onnx_rank1,pytorch_ref,delta,threshold,status
convnext_base,fp32,0.5427,0.5427,0.0,0.001,PASS
convnext_small,fp32,0.537,0.537,0.0,0.001,PASS
convnext_tiny,fp32,0.5317,0.5317,0.0,0.001,PASS
deit3_base,fp32,0.5834,0.5834,0.0,0.001,PASS
deit3_medium,fp32,0.5703,0.5703,0.0,0.001,PASS
deit3_small,fp32,0.5515,0.5515,0.0,0.001,PASS
mobilevitv2_200,fp32,0.5429,0.5429,0.0,0.001,PASS
pvt_v2_b2,fp32,0.5421,0.5421,0.0,0.001,PASS
pvt_v2_b3,fp32,0.5429,0.5429,0.0,0.001,PASS
pvt_v2_b5,fp32,0.5467,0.5467,0.0,0.001,PASS
resnet101d,fp32,0.4973,0.4973,0.0,0.001,PASS
resnet200d,fp32,0.4678,0.4678,0.0,0.001,PASS
resnet50d,fp32,0.4764,0.4764,0.0,0.001,PASS
swin_base,fp32,0.526,0.526,0.0,0.001,PASS
swin_small,fp32,0.5392,0.5392,0.0,0.001,PASS
swin_tiny,fp32,0.5335,0.5335,0.0,0.001,PASS
convnext_base,fp16,0.5427,0.5427,0.0,0.003,PASS
convnext_small,fp16,0.537,0.537,0.0,0.003,PASS
convnext_tiny,fp16,0.5314,0.5317,0.0003,0.003,PASS
deit3_base,fp16,0.5834,0.5834,0.0,0.003,PASS
deit3_medium,fp16,0.5703,0.5703,0.0,0.003,PASS
deit3_small,fp16,0.5512,0.5515,0.0003,0.003,PASS
mobilevitv2_200,fp16,0.5427,0.5429,0.0002,0.003,PASS
pvt_v2_b2,fp16,0.5424,0.5421,-0.0003,0.003,PASS
pvt_v2_b3,fp16,0.5427,0.5429,0.0002,0.003,PASS
pvt_v2_b5,fp16,0.5467,0.5467,0.0,0.003,PASS
resnet101d,fp16,0.497,0.4973,0.0003,0.003,PASS
resnet200d,fp16,0.4678,0.4678,0.0,0.003,PASS
resnet50d,fp16,0.4767,0.4764,-0.0003,0.003,PASS
swin_base,fp16,0.5258,0.526,0.0002,0.003,PASS
swin_small,fp16,0.5394,0.5392,-0.0002,0.003,PASS
swin_tiny,fp16,0.5335,0.5335,0.0,0.003,PASS
convnext_base,int8,0.5427,0.5427,0.0,0.005,PASS
convnext_small,int8,0.5335,0.537,0.0035,0.005,PASS
convnext_tiny,int8,0.5311,0.5317,0.0006,0.005,PASS
deit3_base,int8,0.5797,0.5834,0.0037,0.005,PASS
deit3_medium,int8,0.5697,0.5703,0.0006,0.005,PASS
deit3_small,int8,0.548,0.5515,0.0035,0.005,PASS
mobilevitv2_200,int8,0.5429,0.5429,0.0,0.005,PASS
pvt_v2_b2,int8,0.5418,0.5421,0.0003,0.005,PASS
pvt_v2_b3,int8,0.5429,0.5429,0.0,0.005,PASS
pvt_v2_b5,int8,0.5456,0.5467,0.0011,0.005,PASS
resnet101d,int8,0.4973,0.4973,0.0,0.005,PASS
resnet200d,int8,0.4678,0.4678,0.0,0.005,PASS
resnet50d,int8,0.4764,0.4764,0.0,0.005,PASS
swin_base,int8,0.5241,0.526,0.0019,0.005,PASS
swin_small,int8,0.5416,0.5392,-0.0024,0.005,PASS
swin_tiny,int8,0.5322,0.5335,0.0013,0.005,PASS
deit3_base_kd_cvlface_alpha0.0,fp32,0.5724,0.5724,0.0,0.001,PASS
deit3_base_kd_cvlface_ft,fp32,0.5807,0.5807,0.0,0.001,PASS
deit3_base_kd_cvlface_ft_lora,fp32,0.5472,0.5472,0.0,0.001,PASS
deit3_base_kd_petalface_alpha0.1,fp32,0.5858,0.5858,0.0,0.001,PASS
swin_base_kd_petalface_ft,fp32,0.5215,0.5215,0.0,0.001,PASS
swin_tiny_lora,fp32,0.5617,0.5617,0.0,0.001,PASS
deit3_base_lora,fp32,0.5496,0.5496,0.0,0.001,PASS
swin_tiny_kd_best-blocks_2,fp32,0.5829,0.5829,0.0,0.001,PASS
swin_tiny_kd_best-heads_0.10,fp32,0.4032,0.4032,0.0,0.001,PASS
deit3_base_kd_best-heads_0.10,fp32,0.5928,0.5928,0.0,0.001,PASS
deit3_base_kd_best-blocks_3,fp32,0.5491,0.5491,0.0,0.001,PASS
swin_base_baseline-blocks_5,fp32,0.5528,0.5528,0.0,0.001,PASS
deit3_base_lora-heads_0.10,fp32,0.5896,0.5896,0.0,0.001,PASS
swin_tiny_kd-heads_0.10,fp32,0.5051,0.5051,0.0,0.001,PASS
